#,Project,Language,PRs before CI,PRs after CI,Total of PRs 
1,Yelp/mrjob,Python,168,274,442
2,yiisoft/yii,PHP,148,644,792
3,roots/sage,PHP,282,156,438
4,vanilla/vanilla,PHP,112,988,1100
5,processing/p5.js,JavaScript,100,334,434
6,bokeh/bokeh,Python,134,1417,1551
7,serverless/serverless,JavaScript,285,491,776
8,craftyjs/Crafty,JavaScript,305,129,434
9,invoiceninja/invoiceninja,JavaScript,286,143,429
10,scikit-image/scikit-image,Python,219,859,1078
11,dropwizard/dropwizard,Java,157,560,717
12,androidannotations/androidannotations,Java,215,198,413
13,aframevr/aframe,JavaScript,124,254,378
14,jashkenas/backbone,JavaScript,252,450,702
15,openhab/openhab,Java,1008,506,1514
16,bcit-ci/CodeIgniter,PHP,286,559,845
17,mizzy/serverspec,Ruby,100,256,356
18,spinnaker/spinnaker,Python,211,157,368
19,sensu/sensu,Ruby,229,473,702
20,cython/cython,Python,104,256,360
21,buildbot/buildbot,Python,111,913,1024
22,jsbin/jsbin,JavaScript,158,516,674
23,siacs/Conversations,Java,211,113,324
24,photonstorm/phaser,JavaScript,163,504,667
25,fchollet/keras,Python,118,211,329
26,robolectric/robolectric,Java,204,735,939
27,TelescopeJS/Telescope,JavaScript,156,141,297
28,andypetrella/spark-notebook,JavaScript,150,143,293
29,apache/incubator-airflow,Python,220,390,610
30,ReactiveX/RxJava,Java,736,662,1398
31,driftyco/ng-cordova,JavaScript,115,175,290
32,haraka/Haraka,JavaScript,328,600,928
33,isagalaev/highlight.js,JavaScript,105,158,263
34,bundler/bundler,Ruby,193,410,603
35,humhub/humhub,PHP,114,138,252
36,square/picasso,Java,110,115,225
37,Netflix/Hystrix,Java,146,438,584
38,dropwizard/metrics,Java,121,102,223
39,refinery/refinerycms,Ruby,497,427,924
40,gollum/gollum,JavaScript,116,104,220
41,jhipster/generator-jhipster,JavaScript,107,1243,1350
42,mapbox/mapbox-gl-js,JavaScript,106,105,211
43,request/request,JavaScript,151,395,546
44,alohaeditor/Aloha-Editor,JavaScript,270,198,468
45,boto/boto,Python,205,715,920
46,grails/grails-core,Java,298,165,463
47,Pylons/pyramid,Python,138,1198,1336
48,mantl/mantl,Python,313,147,460
49,ether/etherpad-lite,JavaScript,317,602,919
50,jashkenas/underscore,JavaScript,118,331,449
51,apereo/cas,Java,227,673,900
52,kivy/kivy,Python,157,1135,1292
53,elastic/logstash,Ruby,458,446,904
54,getsentry/sentry,Python,121,1051,1172
55,hapijs/hapi,JavaScript,400,469,869
56,HabitRPG/habitica,JavaScript,177,983,1160
57,pyrocms/pyrocms,PHP,278,446,724
58,BabylonJS/Babylon.js,JavaScript,259,566,825
59,Leaflet/Leaflet,JavaScript,290,874,1164
60,laravel/laravel,PHP,300,498,798
61,zurb/foundation-sites,JavaScript,479,1163,1642
62,callemall/material-ui,JavaScript,350,1323,1673
63,loomio/loomio,Ruby,366,1420,1786
64,scikit-learn/scikit-learn,Python,323,1489,1812
65,frappe/erpnext,Python,232,1791,2023
66,Theano/Theano,Python,616,1882,2498
67,puppetlabs/puppet,Ruby,247,3008,3255
68,chef/chef,Ruby,103,1667,1770
69,woocommerce/woocommerce,PHP,1334,1147,2481
70,divio/django-cms,Python,131,1909,2040
71,scipy/scipy,Python,287,1612,1899
72,matplotlib/matplotlib,Python,396,2074,2470
73,sympy/sympy,Python,792,2316,3108
74,twbs/bootstrap,JavaScript,126,1824,1950
75,AnalyticalGraphicsInc/cesium,JavaScript,515,547,1062
76,elastic/kibana,JavaScript,235,1681,1916
77,mozilla/pdf.js,JavaScript,1029,1872,2901
78,appcelerator/titanium_mobile,JavaScript,5316,1265,6581
79,TryGhost/Ghost,JavaScript,299,2275,2574
80,fog/fog,Ruby,479,1694,2173
81,ansible/ansible,Python,3150,1462,4612
82,ipython/ipython,Python,504,3272,3776
83,cakephp/cakephp,PHP,287,3653,3940
84,owncloud/core,PHP,2676,5936,8612
85,rails/rails,Ruby,525,9866,10391
86,mozilla-b2g/gaia,JavaScript,4369,17690,22059
87,saltstack/salt,Python,457,19366,19823